Team,Match,Alliance,Time,X,Y
8059,58,blue,14.5,null,null
8059,58,blue,14.6,null,null
8059,58,blue,14.7,null,null
8059,58,blue,14.8,null,null
8059,58,blue,14.9,null,null
8059,58,blue,15.0,null,null
8059,58,blue,15.1,null,null
8059,58,blue,15.2,null,null
8059,58,blue,15.3,null,null
8059,58,blue,15.4,null,null
8059,58,blue,15.5,null,null
8059,58,blue,15.6,null,null
8059,58,blue,15.7,null,null
8059,58,blue,15.8,null,null
8059,58,blue,15.9,null,null
8059,58,blue,16.0,null,null
7461,58,blue,0,null,null
7461,58,blue,0.1,null,null
7461,58,blue,0.2,null,null
7461,58,blue,0.3,null,null
7461,58,blue,0.4,null,null
7461,58,blue,0.5,null,null
7461,58,blue,0.6,null,null
7461,58,blue,0.7,null,null
7461,58,blue,0.8,null,null
7461,58,blue,0.9,null,null
7461,58,blue,1.0,null,null
7461,58,blue,1.1,null,null
7461,58,blue,1.2,null,null
7461,58,blue,1.3,null,null
7461,58,blue,1.4,null,null
7461,58,blue,1.5,null,null
7461,58,blue,1.6,null,null
7461,58,blue,1.7,null,null
7461,58,blue,1.8,null,null
7461,58,blue,1.9,null,null
7461,58,blue,2.0,null,null
7461,58,blue,2.1,null,null
7461,58,blue,2.2,null,null
7461,58,blue,2.3,null,null
7461,58,blue,2.4,null,null
7461,58,blue,2.5,null,null
7461,58,blue,2.6,null,null
7461,58,blue,2.7,null,null
7461,58,blue,2.8,null,null
7461,58,blue,2.9,null,null
7461,58,blue,3.0,null,null
7461,58,blue,3.1,null,null
7461,58,blue,3.2,null,null
7461,58,blue,3.3,null,null
7461,58,blue,3.4,null,null
7461,58,blue,3.5,null,null
7461,58,blue,3.6,null,null
7461,58,blue,3.7,null,null
7461,58,blue,3.8,null,null
7461,58,blue,3.9,null,null
7461,58,blue,4.0,null,null
7461,58,blue,4.1,null,null
7461,58,blue,4.2,null,null
7461,58,blue,4.3,null,null
7461,58,blue,4.4,null,null
7461,58,blue,4.5,null,null
7461,58,blue,4.6,null,null
7461,58,blue,4.7,null,null
7461,58,blue,4.8,null,null
7461,58,blue,4.9,null,null
7461,58,blue,5.0,null,null
7461,58,blue,5.1,null,null
7461,58,blue,5.2,null,null
7461,58,blue,5.3,null,null
7461,58,blue,5.4,null,null
7461,58,blue,5.5,null,null
7461,58,blue,5.6,null,null
