Team,Match,Alliance,Time,X,Y
5588,40,red,10.4,40,4
5588,40,red,62.7,44,4
5588,40,red,115.6,38,6
8248,40,red,41.4,26,10
8248,40,red,105.7,6,10
8248,40,red,109.4,0,10
4309,40,red,53.5,44,14
4309,40,red,123.8,28,12
4309,40,red,134.7,30,10
2522,40,blue,17.0,14,14
492,40,blue,56.9,26,26
2976,41,red,5.1,42,8
2976,41,red,105.5,36,4
1899,41,red,11.2,40,12
1899,41,red,60.1,10,20
1899,41,red,145.7,24,12
1318,41,red,11.3,50,6
1318,41,red,81.6,36,18
1318,41,red,90.9,40,16
1318,41,red,94.6,38,14
1318,41,red,143.6,30,12
3268,41,blue,12.3,10,8
7118,41,blue,143.2,36,20
4089,42,red,13.8,44,6
4089,42,red,21.8,38,4
4089,42,red,39.6,44,6
2412,42,red,117.0,34,4
8032,42,blue,23.5,6,12
8032,42,blue,31.8,8,18
8032,42,blue,35.5,0,18
3826,42,blue,34.3,28,24
3826,42,blue,42.8,8,22
3826,42,blue,55.5,2,20
3826,42,blue,61.0,0,20
1294,42,blue,64.0,36,24
1294,42,blue,130.4,14,22
4915,43,red,40.3,42,8
4915,43,red,146.6,36,10
4911,43,red,9.8,44,12
4911,43,red,40.1,42,4
4911,43,red,51.7,36,4
3070,43,red,24.5,36,22
3070,43,red,35.6,0,10
3070,43,red,44.4,2,10
3070,43,red,68.8,0,8
3070,43,red,72.5,2,8
3070,43,red,144.1,26,12
3070,43,red,150.6,26,10
4180,43,blue,43.7,20,20
4180,43,blue,144.3,22,16
4918,43,blue,10.7,12,18
4918,43,blue,123.4,42,22
4918,43,blue,135.8,26,18
2928,44,red,10.7,44,8
2928,44,red,72.9,40,8
2928,44,red,94.8,44,10
4309,44,red,11.6,50,6
4309,44,red,51.7,42,8
4309,44,red,95.6,44,6
4309,44,red,125.4,30,10
3268,44,red,3.8,46,22
3268,44,red,30.1,44,14
3268,44,red,113.3,36,14
3268,44,red,122.1,20,8
3268,44,red,134.3,22,8
4682,44,blue,3.8,8,12
4682,44,blue,10.5,0,10
4682,44,blue,39.8,20,12
4682,44,blue,43.5,18,12
4682,44,blue,78.9,18,10
4682,44,blue,88.7,18,12
4682,44,blue,124.6,20,10
4682,44,blue,149.6,24,12
