matchNumber,teamNumber,startPosition,preLoadedBalls,auto-bottom port,auto-Outer port,crossedLine,cellsCollected,Bottom Port,Top Port,missed,rotation,colorControl,balanced,parked,climbed,helped,defended,additionalComments
23 ,8032 ,null,true,0,0,true,0,3,0,0,0,false,false,true,false,false,false,  
23 ,4915 ,null,true,0,3,true,0,0,4,0,0,false,false,false,true,false,false,  
23 ,4683 ,null,true,0,5,true,0,3,0,0,0,false,false,false,false,false,false,  
23 ,4089 ,null,true,0,2,false,0,0,6,0,0,false,false,true,false,false,false,  
24 ,1778 ,null,true,0,3,true,0,0,11,0,0,false,false,true,false,false,false,  
24 ,7118 ,null,true,0,0,false,0,0,1,0,0,false,false,true,false,false,false,  
24 ,1294 ,null,true,0,0,false,0,0,2,0,0,false,false,false,false,false,false,  
24 ,1318 ,null,true,0,0,false,0,0,2,0,0,false,true,true,true,false,false,  
24 ,2522 ,null,true,0,3,true,0,0,3,0,0,false,true,false,true,false,false,    
24 ,4512 ,null,true,0,2,true,0,0,6,0,0,false,false,false,false,false,false,     
25 ,7627 ,null,false,0,0,true,0,1,0,0,0,false,false,true,false,false,true,  
25 ,3268 ,null,true,0,0,false,0,0,0,0,0,false,false,false,false,false,false,  
25 ,4681 ,null,true,0,1,false,0,0,3,0,0,false,false,true,false,false,false,  
25 ,8248 ,null,true,0,0,false,0,0,0,0,0,false,false,false,false,false,false,did nothing lel  
25 ,492 ,null,true,0,0,true,1,9,0,0,0,false,false,true,false,false,false,  
25 ,7461 ,null,true,0,1,true,0,0,6,0,0,false,false,true,false,false,false,  
26 ,1899 ,null,true,0,0,false,0,0,0,0,0,false,false,false,true,false,false,   
26 ,2910 ,null,true,0,4,false,4,0,24,0,0,false,false,false,true,false,false,   
26 ,4911 ,null,true,0,5,true,31,0,0,0,0,false,false,true,false,false,false,  
26 ,2903 ,null,true,0,0,false,0,0,0,0,0,false,false,false,false,false,false,  
26 ,4513 ,null,true,0,2,true,0,9,0,0,0,false,false,true,false,false,false,  
26 ,2928 ,null,false,0,0,false,0,0,0,0,0,false,false,false,false,false,false,  
27 ,8059 ,null,false,0,0,false,0,0,0,0,0,false,false,false,false,false,true,  
27 ,2930 ,null,true,0,0,true,0,0,9,0,0,false,false,false,true,false,false,Slightly top and front heavy        
27 ,4309 ,null,false,0,0,true,0,0,10,0,0,false,false,true,false,false,false,  
27 ,7118 ,null,true,0,0,true,0,0,0,0,0,false,false,true,false,false,false,   
27 ,4173 ,null,true,0,0,true,0,0,0,0,0,false,false,true,false,false,false,  
27 ,3826 ,null,true,0,3,false,0,0,7,0,0,false,false,false,true,false,false,  
28 ,4681 ,null,true,0,1,false,0,0,1,0,0,false,false,true,false,false,false,  
28 ,949 ,null,true,0,2,true,0,0,2,0,0,false,false,true,false,false,false,  
28 ,1778 ,null,true,0,2,true,0,0,3,0,0,false,false,false,false,false,false,   
28 ,4180 ,null,true,0,1,true,0,0,3,0,0,false,false,true,false,false,true,  
28 ,1318 ,null,true,0,1,true,1,0,6,0,0,false,false,false,true,false,false,  
28 ,8032 ,null,true,0,0,true,0,0,0,0,0,false,false,false,false,false,false,  
29 ,2976 ,null,false,0,0,false,0,0,0,0,0,false,false,false,false,false,false,  
29 ,4512 ,null,true,0,3,true,3,0,10,0,0,false,false,false,true,false,false,  
29 ,4682 ,null,true,0,0,true,5,0,0,0,0,false,false,true,false,false,false,  
29 ,8248 ,null,false,0,0,false,0,0,0,0,0,false,false,false,false,false,false,did not move  
29 ,2412 ,null,true,0,0,false,0,0,0,0,0,false,false,true,false,false,false,   
29 ,4205 ,null,true,0,0,true,0,0,2,0,0,false,false,true,false,false,false,  
30 ,4089 ,null,true,0,2,true,2,0,3,0,0,false,false,false,false,false,false,  
30 ,3070 ,null,true,5,0,true,4,0,0,0,0,false,false,true,true,false,false,  
30 ,4918 ,null,true,0,3,false,0,0,0,0,0,false,false,false,true,false,false,    
30 ,3268 ,null,true,0,0,false,0,0,0,0,0,false,false,true,false,false,false,  
30 ,7627 ,null,true,0,0,true,0,0,0,0,0,false,false,true,false,false,true,  
30 ,5588 ,null,true,0,0,true,0,0,2,0,0,false,false,true,false,false,false,  
31 ,4683 ,null,true,0,0,true,0,2,0,0,0,false,false,true,false,false,false,  
31 ,1294 ,null,true,0,0,false,0,0,2,0,0,false,false,false,false,false,false,  
31 ,4131 ,null,true,0,0,true,0,2,0,0,0,false,true,false,true,false,false,  
31 ,2522 ,null,true,0,0,true,0,0,0,0,0,false,true,false,true,false,false,  
31 ,1899 ,null,true,0,0,true,0,0,0,0,0,false,false,false,true,false,false,  
32 ,2928 ,null,false,6,0,false,0,0,0,0,0,false,false,false,false,false,false,  
32 ,7461 ,null,true,0,3,true,0,0,0,0,0,false,false,true,false,false,false,  
32 ,2976 ,null,true,0,5,true,3,0,14,0,0,false,false,true,false,false,false,  
32 ,949 ,null,false,0,0,true,0,0,0,0,0,false,false,false,false,false,false,defense  
32 ,4173 ,null,true,0,0,true,0,0,0,0,0,false,false,true,false,false,false,  
32 ,1318 ,null,true,0,0,false,0,0,0,0,0,false,false,true,false,false,false,     
33 ,7627 ,null,true,0,0,true,0,1,0,0,0,false,false,false,false,false,false,Battery fell out  
33 ,8032 ,null,false,0,0,false,0,0,0,0,0,false,false,true,false,false,false,  
33 ,4682 ,null,true,0,0,true,0,0,0,0,0,false,false,true,false,false,false,  
33 ,4681 ,null,true,0,6,true,0,0,1,0,0,false,false,false,true,false,false,  
33 ,2910 ,null,true,0,0,true,0,0,9,0,0,false,false,false,true,false,false,  
33 ,8059 ,null,true,0,0,false,0,0,0,0,0,false,false,false,false,false,false,never moved  
34 ,2412 ,null,true,0,0,true,0,0,0,0,0,false,false,true,false,false,false,  
34 ,4131 ,null,true,3,0,false,0,0,0,0,0,false,true,false,true,false,false,  
34 ,1294 ,null,true,0,1,true,0,0,0,0,0,false,false,false,false,false,false,  
34 ,3070 ,null,true,0,0,true,0,3,0,0,0,false,true,false,true,false,false,  
34 ,4180 ,null,true,0,0,false,0,1,0,0,0,false,false,true,false,false,false,  
34 ,4309 ,null,true,0,0,false,0,0,4,0,0,false,false,false,false,false,false,  
35 ,2903 ,null,true,0,0,false,0,0,0,0,0,false,false,false,false,false,false,  
35 ,4512 ,null,true,0,2,true,0,0,4,0,0,false,false,true,false,false,false,  
35 ,4915 ,null,true,0,0,false,0,0,0,0,0,false,false,true,false,false,false,  
35 ,3268 ,null,true,0,0,true,0,0,0,0,0,false,false,false,false,false,false,  
35 ,4683 ,null,true,0,0,true,0,3,0,0,0,false,false,true,false,false,false,  
35 ,1778 ,null,true,0,3,true,0,0,5,0,0,false,false,true,false,false,false,  
36 ,7118 ,null,true,0,0,true,0,0,2,0,0,false,false,false,false,false,false,  
36 ,8248 ,null,true,0,0,false,0,0,0,0,0,false,false,true,false,false,true,  
36 ,4513 ,null,true,0,3,true,2,0,6,0,0,false,false,true,false,false,false,  
36 ,4089 ,null,true,0,3,true,0,0,4,0,0,false,true,false,true,false,false,  
36 ,2930 ,null,true,0,2,true,0,0,5,0,0,false,true,true,true,false,false,  
37 ,4205 ,null,true,0,0,true,0,0,0,0,0,false,false,false,false,false,false,  
37 ,492 ,null,true,0,3,true,1,0,0,0,0,false,false,true,false,false,false,  
37 ,4911 ,null,true,0,0,true,0,0,19,0,0,false,false,false,false,false,false,  
37 ,5588 ,null,true,0,3,true,0,0,1,0,0,false,false,false,false,false,true,  
37 ,4918 ,null,true,0,2,true,0,0,2,0,0,false,false,true,false,false,true,  
37 ,3826 ,null,true,0,3,true,0,0,12,0,0,false,false,false,true,false,false,  
38 ,949 ,null,true,0,3,true,0,0,2,0,0,false,false,true,false,false,false,  
38 ,4173 ,null,true,0,0,true,0,0,0,0,0,false,false,false,false,false,false,  
38 ,4512 ,null,true,0,3,true,0,0,6,0,0,false,false,false,true,false,false,  
38 ,4131 ,null,true,3,0,true,0,0,0,0,0,false,false,false,false,false,false,  
38 ,4682 ,null,false,0,0,true,0,0,0,0,0,false,false,true,false,false,false,  
38 ,2910 ,null,true,0,4,true,3,0,13,0,0,false,false,false,true,false,false,  
39 ,4513 ,null,true,0,0,true,0,0,5,0,0,false,false,true,false,false,false,  
39 ,4683 ,null,true,0,0,true,0,0,0,0,0,false,false,true,false,false,false,  
